#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
1,1.02,Saquon Barkley,RB,NYG,1.9,0.8,1.01,1.04,185
2,1.02,Alvin Kamara,RB,NO,2.4,0.8,1.01,1.04,90
3,1.04,Christian McCaffrey,RB,CAR,3.6,1.1,1.01,1.06,112
4,1.04,Ezekiel Elliott,RB,DAL,3.8,1,1.01,1.06,67
5,1.06,James Conner,RB,PIT,6.1,1.6,1.01,1.12,79
6,1.06,DeAndre Hopkins,WR,HOU,6.1,1.8,1.01,1.12,105
7,1.07,LeVeon Bell,RB,NYJ,7.2,2.1,1.01,2.01,88
8,1.07,Nick Chubb,RB,CLE,7.2,2,1.04,2.03,105
9,1.09,Davante Adams,WR,GB,9.2,2,1.04,2.04,108
10,1.11,Dalvin Cook,RB,MIN,10.6,2.1,1.02,2.03,115
11,1.11,Julio Jones,WR,ATL,10.9,2.1,1.05,2.04,93
12,1.11,Todd Gurley,RB,LAR,11.4,2.3,1.06,2.06,117
13,2.01,Tyreek Hill,WR,KC,12.9,2.4,1.03,2.05,120
14,2.01,Michael Thomas,WR,NO,12.9,2.2,1.06,2.07,127
15,2.02,David Johnson,RB,ARI,14.2,4.4,1.05,3.03,225
16,2.03,Odell Beckham Jr,WR,CLE,14.9,2.2,1.1,2.09,149
17,2.04,JuJu Smith-Schuster,WR,PIT,15.9,2.3,1.11,2.1,125
18,2.04,Pat Mahomes,QB,KC,16.4,7.1,1.01,3.03,94
19,2.04,Joe Mixon,RB,CIN,16.4,3.4,1.03,2.11,119
20,2.06,Travis Kelce,TE,KC,17.8,3.5,1.04,2.12,114
21,2.08,Leonard Fournette,RB,JAX,20.3,2.7,2.01,3.03,111
22,2.1,Mike Evans,WR,TB,21.5,2,2.04,3.04,133
23,2.11,Chris Carson,RB,SEA,22.9,3,2.01,3.06,127
24,2.11,Antonio Brown,WR,NE,23.3,3,1.08,3.06,129
25,3.01,Damien Williams,RB,KC,24.6,3,2.05,3.1,66
26,3.01,Aaron Jones,RB,GB,25.5,3.7,1.1,3.09,112
27,3.02,Adam Thielen,WR,MIN,26,2.7,2.06,3.08,109
28,3.04,Keenan Allen,WR,LAC,27.8,2.5,2.08,3.11,91
